Stimulation_Day5_Donor1_IL-15	Stimulation_Day5_Donor1_Mabkine	Stimulation_Day5_Donor2_IL-15	Stimulation_Day5_Donor2_Mabkine	Stimulation_Day5_Donor3_IL-15	Stimulation_Day5_Donor3_Mabkine
FER1L6-AS1	5	3	10	5	8	5
FERD3L	0	0	1	1	0	0
FERMT1	1	4	5	5	7	7
FERMT2	0	1	12	4.00000589	34	5
FERMT3	5149.999	6112.999	4697.998	9577.004	4324.799	2901.9975
FES	660.999805	342.999600334392	486.9999	272.0001	503.99986564	218.9996
FETUB	0	0	0	4	0	1
FEV	1	0	2	6	1	3
FEZ1	458.8176	112.748	1368.177	251.9436	3137.373	660.035
FEZ2	53	26	29.00001	50	37	15
FEZF1	3.80218	3	1.61795	3	0	1
FEZF1-AS1	1.19782	2	1.38205	1	1	2
FEZF2	0	0	2	0	0	2
FFAR1	0	0	5	2	0	2
FFAR2	42.8532	35.6143	31.1066	49.6315	61.85	50.7796
FFAR3	1	4	9	9	3	2
FFAR4	35.00590157512	31.4444245663	42.703900368704	47.1005249225	79.8673967516	30.80400442244
FGA	0	1	0	0	0	0
FGB	6.78021	1.04644	8.44537	4.21231	10.8842	1.06355
FGD1	14	24	24	12	47	10
FGD2	123.02	89.3823	119.64	97.4302	105.758	46.3038
FGD3	1315	1022	1764.995	1683.997	2246.001	1059
FGD4	46.4382	53.584	57.4009	66.4539	70.0035	64.3834
FGD5	1	1	10	2	11	7
FGD5-AS1	457.42268	437.85802	562.0309	620.61319	765.5678	326.5344
FGD5P1	16.8019	9.49626	29.2967	36.4831	44.4645	12.8826
FGD6	20.1686	21.3374	30.2343	47.0362	37.3245	17.0457
FGF1	4	1.999995	1	3	1	2
FGF10	0	0	0	1	0	0
FGF11	2	3	4	8	18	0
FGF12	16	10	17	22.99996889	16	16
FGF13	3.26405	4.30343	5.29743	6.47047	9.32459	7.44595
FGF13-AS1	11.3634	2.18021	6.40576	7.5524	12.3748	4.00727
FGF14	0	1	0	0	1	1
FGF14-AS2	2	5	15	13	8	0
FGF14-IT1	0	3	1	5	3	0
FGF16	0	0	0	0	0	0
FGF17	0	0	3	2	2	2
FGF18	2	0	2	2.00673	4.03363	1
FGF19	1	0	2	0	0	0
FGF2	9.42763	7.33766	13.7853	8.45186	14.4274	10.4638
FGF20	0	0	0	0	0	0
FGF21	0	0	2	1	1	2
FGF22	0	0	0	1	0	0
FGF23	9.00727	23.0115	20.0115	24.0355	27.0104	17.0337
FGF3	0	2	1	2	1	0
FGF4	0	1	2	1	1	1
FGF5	31.6675	38.7551000497222	74.4836	55.5059000402226	87.108200210313	38.6822
FGF6	0	1	0	1	0	0
FGF7	3	0	6	3.0566	3	5.21055
FGF8	2	5	7	2	2	2
FGF9	3.03038	3.06172	4.06238	15.1741	3.16505	8.71076
FGFBP1	0	0	2	3	1	1
FGFBP2	120	78	272	167	539	106
FGFBP3	10	5	4	15	6	4
FGFR1	44.65373550672	12.0872417547	65.01581200223	52.68184	422.121703034261	162.27194
FGFR1OP	177.9998	193.0004	196	200.0003	219.0003	142
FGFR1OP2	665.0005	631.9996	641.9996	924	1054	548.0001
FGFR2	11.3651	12.45826	21.21242	16.77241	38.03827	14.89643
FGFR3	3.06691	6.04437	6.053944	13.1744	14.04298	3.00176
FGFR4	3	1	13.99999	2	7.00000098164	5
FGFRL1	21.999966	22.000033	13.999951	28.00005	12.000004	10.999984
FGG	1	0	1	0	1	0
FGGY	46	53	28	42	56	45
FGL1	1	1	3	1	0	1
FGL2	40.3903	17.0979	155.713	105.992	211.837	80.3009
FGR	1555	1136	1371.001	980	1753.001	466.9993
FH	496	663	389	823	466	321
FHAD1	22.6539	20.5618	34.6608	60.3026	55.1656	23.9509
FHDC1	58.135	34.1019	74.9205	81.8914	65.242	44.6246
FHIT	4.0000026813	9	11	10.9999596625	7.9999980261	2.00000350698
FHL1	84.00004	136.0003	77.000000450258	190.999900013558	34.999995788866	49.00006
FHL2	21.0589	22.4712	31.4648	61.37468	40.9313	21.3275
FHL3	89	64.00003	260	200	238.9999	114.0002
FHL5	3	1	2	0	3	0
FHOD1	423	401	390	538	354	181
FHOD3	11	3	15	15	22	3
FIBCD1	3	0	8	11	3	0
FIBIN	0	0	0	4	1	0
FIBP	1394.997	1510.998	1196.999	1685.999	1365.003	528
FICD	108	74	136	94	136	44
FIG4	152	139	163	196	260	102
FIGF	2	0	0	0	0	0
FIGLA	0	0	0	0	0	0
FIGN	0	0	4	8	6	1
FIGNL1	170	189	239.9999	207.0002	227	144.99972521
FIGNL2	11.0776	7	12.1103	13.0649	24.6092	7.02769
FILIP1	0	1	5	3	1	1
FILIP1L	29.00003	17	14	27.00002	18	15
FIP1L1	764.001	899.999	918	1348.001	1156	637
FIS1	654	724	534	948	719	421
FITM1	4	2	4	4	7	0
FITM2	21	11	31	17	25	9
FIZ1	21	13	16	27	17	17
FJX1	0	0	3	5	3	0
FKBP10	17	8	15	5	11	2
FKBP11	389.15845	247.10473	920.76422	247.7887	1206.7306	240.5353
FKBP14	88.6254750122156	69.8349	104.7021	125.07135	144.759408	77.5607
FKBP15	349	316	462	476	647	285
FKBP1A	4866.5684	6067.9812	4016.3665	7560.9209	3387.909	2305.9499
FKBP1A-SDCBP2	4.92	0	6.40816	0	0	0
FKBP1AP1	29.4986	24.1643	48.2457	53.2843	81.0791	32.277
FKBP1B	21.99998	6	6	6	9	4
FKBP2	385.0003	366.0005	456	562.0001	643.9995	217.9996254
FKBP3	219	202	211	282	279	143
FKBP4	385	462	353	583	513	330
FKBP5	276.0359	210.3545	370.24	380.6048	618.49	295.1782
FKBP6	5.40907	4.14357	5.43915	3.45134	10.4435	3.13707
FKBP7	22.9438	12.4937	28.7887	28.3853	34.276	18.5424
FKBP8	362	421	415	569	406	199
FKBP9	44.375	18.3575	24.9149	60.4998	20.0239	18.9514
FKBP9L	26.45837	19.2021	36.42749	33.573	34.33932	13.292
FKBPL	39	36	58	62	56	33
FKRP	115.564	130.8712	148.8027	256.9091	216.437	63.29372
FKSG29	0	0	2	3	1	4
FKTN	45.7766	45.4561563688	79.0565	62.8949	95.3949	52.2464347106
FLAD1	350.6706	420.2205	402.644	663.6874	588.9042	357.42265
FLCN	327.482	366.87	353.4861	399.3054	454.8037	233.0045
FLG	4	3	14	17	23	18
FLG2	36.3914	35.0866	46.8019	26.0401	61.3805	30.3196
FLI1	317.4774	259.02072	320.7325	330.465	488.7764	173.6949
FLI1-AS1	6	5	14	7	6	9
FLII	2406	2806.001	2699.004	3766.998	2999.001	1756
FLJ10038	59.3421	56.8484	66.1331	66.9666	104.01	52.1282
FLJ11235	0	2	2	1	12	0
FLJ12334	15	8	45	16	77	17
FLJ12825	17.561	8.34252	27.6108	26.831	38.8534	23.7314
FLJ13197	18.8753	20.3658	43.3608	33.8873	34.7011	21.7413
FLJ13224	3	5	4	1	8	1
FLJ14107	15.6978	20.7561	17.9727	39.182	65.4645	21.1426
FLJ14186	93.4486	77.8538	110.491	155.94	131.962	100.74
FLJ16171	9	2	6	6	10	2
FLJ16341	3	1	2	9	11	4
FLJ16779	4.83738	7	10	11	6	1
FLJ20021	48	48	32	62	43	23
FLJ20518	0.0793974	0.220327	0.0752844	0.383781	0.409325	0.209448
FLJ21408	1	4	2	3	3	1
FLJ22184	6	0	2	4	1	1
FLJ22447	1	0	0	0	2	0
FLJ22763	1	0	1	2	4	5
FLJ23867	4	6	17	4	7	3
FLJ25328	1	1	4	2	0	1
FLJ25363	13.0395	17.7857	27.0983	19.0329	41.4422	12.1541
FLJ25758	1	2	6	1	3	3
FLJ26245	40	19	77	107	119	99
FLJ26850	0	1	1	5	1	0
FLJ27352	0	2	1	0	0	1
FLJ27354	2	3	1	8	6	1
FLJ30403	22.7723	30.6151	60.9471	57.3832	70.4707	37.9733
FLJ30679	6.32115	11.2457	27.4388	16.3697	26.7672	23.1341
FLJ30838	26.5703	21.8045	49.7185	51.1755	53.7839	35.3139
FLJ31306	362.949	286.1647	384.9706	356.4297	703.76	273.2529
FLJ31485	0	3.1458	2.20576	5.25609	12.7473	6.35245
FLJ31662	225.7	217.979	374.707	404.422	412.146	256.935
FLJ31813	29.8994	13.4926	31.8663	29.6598	46.748	16.5481
FLJ33360	10.886	15.6613	13.8856	14.0577	17.4667	20.115
FLJ33534	7.42714	4.64551	4.84363	5.62237	14.348	2.59417
FLJ33581	0	6.16104	10.544	15.9748	13.6819	4.11433
FLJ33630	18	10	35	24	23	12
FLJ34208	5	4	2	1	9	9
FLJ34503	4	4	13	15	13	6
FLJ35024	1.51465	0	2.45284	6.30978	3.15493	6.18992
FLJ35282	91.0299	67.8199	100.945	134.818	165.233	85.3407
FLJ35390	24.75209	37.0752	47.2822	44.3615	53.5505	24.6486
FLJ35424	1	1	3	4	9	0
FLJ35946	1	3	3	4	8	3
FLJ36000	11	13	26	36	17	15
FLJ36777	21.6364	25.3639	33.9838	29.1412	25.3831	24.3099
FLJ37035	6.73639	1	4	2.6173	3.66384	4.34736
FLJ37201	2	1	2	6	1	0
FLJ37453	56.8536	38.9123	66.2588	78.0472	87.0733	50.9129
FLJ37505	0	0	2.02114	1.01436	2.03021	2.0656
FLJ38109	95.0459	81.1983	97.4671	100.275	137.248	65.3135
FLJ38576	0	1	4	2	2	1
FLJ39051	24	26	52	31	69	28
FLJ39080	3	1	3	3	0	0
FLJ39639	23.5439	25.3292	53.5346	48.5744	45.4271	38.9593
FLJ39739	0	0	29.10663306	0	36.3468	0
FLJ40194	4	2	6	6.01002	5	3
FLJ40288	2	0	4	2	1	1
FLJ40292	18	9	15	20	33	16
FLJ40852	6	4	7	4	4	9
FLJ41200	9.34656	11.7774	20.6603	17.1648	11.1224	8.0729
FLJ41278	0	1	0	3	0	2
FLJ41350	1	1	1	0	3	0
FLJ41649	1	2	6	3	2	5
FLJ41941	8.21775	9.83643	26.991	22.3157	27.0335	8.48744
FLJ42102	19.9078	15.2154	34.3893	37.2464	41.2407	27.1922
FLJ42289	24	18	42.00003	33	36.00001	20.00002
FLJ42351	9	9	12	7	4	2
FLJ42393	28.299	22.784	47.2986	57.2589	51.5654	25.8899
FLJ42627	222.899	188.899	291.599	280.466	354.632	221.478
FLJ42709	19.1507	20	33.5567	40.7885	41.7319	22.5878
FLJ42875	3	2	3	4	4.000005	5.000005
FLJ42969	0	1	0	3	0	0
FLJ43663	61	47	116.0002	106.00019	117.99994	77
FLJ43681	33.7638	21.9056	56.2357	49.0377	53.1894	36.9289
FLJ43879	32.0356	24.6691	59.922	54.0325	82.6161	30.6363
FLJ44313	0	0	3	1	6	3
FLJ44511	8	5	15	16	16	6
FLJ44635	1.00001	1.00001	2.00005	2.00003	3	3.00011
FLJ45079	25	17	43	40	30	29
FLJ45340	465.632	400.404	635.295	666.985	756.341	399.022
FLJ45445	14.7201	9.22529	26.3084	19.5772	15.6435	7.89686
FLJ45513	17.0306	12.6422	32.7618	35.2756	52.5949	22.5689
FLJ45974	4	2	11	9	9	9
FLJ46066	1	1	4	1	13	3
FLJ46257	1	1	4	4	7	4
FLJ46284	0	0	5	4	4	0
FLJ46300	5	2	2	8	2	4
FLJ46361	11.8788	13.7436	9.55278	14.8567	13.335	11.2936
FLJ46446	3	0.5	9	3	12.9883	1
FLJ46906	5	3	1	1	0	0
FLNA	10394	11193	16960	18647.02	18440.02	7080
FLNB	132	126.00000103796	102.999988	120.000000264628	96.99999570283	34.99997452
FLNC	4.99999603988	5.0000001766	14	33.999997763	3.9999980962	8.0000046776
FLOT1	3437	4454	2658	7748	2571	1692
FLOT2	2745	2660	2810	3306	2489	1053
FLRT1	3	2	6	14	5	1
FLRT2	0	1	3	0	6	1
FLRT3	2	1	13	1	7	5
FLT1	25.70039	16.51717	42.36902	75.1979	49.02245	37.66418
FLT3	1	0	4	2	3	9
FLT3LG	316	275	340	553	352	184
FLT4	58.6337	35.6372	78.68629	68.72374	41.07557	39.6906
FLVCR1	125.24	131.603	190.953	177.882	237.762	136.877
FLVCR1-AS1	11	13	4	6	64	33.99999
FLVCR2	5	11	11	3	18.00002	0
FLYWCH1	162.10455	165.10856	155.0003	252.00031	198.99982	109.00016
FLYWCH2	259.8955	252.8906	221.99973	291	351.00036	179
FMN1	20.7546	21.3269	48.9884	36.9796	42.6028	34.2316
FMN2	2	1	3	9	2	9
FMNL1	995	895	1059	1490	1402	415
FMNL2	5	4	2	9	4	7
FMNL3	1779.297	1959.491	2156.399	2204.651	2838.991	1536.279
FMO1	0	1	1	3	3	2
FMO2	1	0	10	2	1	3
FMO3	1.0000002373	0	0	0	0	1.0000002864
FMO4	9	11	20	18	39	8
FMO5	9	2	15.99995	10	23.99993	9
FMO6P	0	1	0	0	1	1
FMO9P	0	0	0	1	0	1
FMOD	1	1	7	6	11	5
FMR1	97	85.91191509	140.80090358318	125.880800511	156.8852	96.905176994112
FMR1-AS1	4	5.08808	9.19909	10.1192	13.11485	6.09475
FMR1NB	0	0	0	0	1	0
FN1	8	14.9999947488	12	19.0000024684	11	9
FN3K	7	2	4	3	4	0
FN3KRP	439.0002	441.0003	669.0003	839.0003	484.0002	339.0004
FNBP1	894.561	795.408	996.953	1173.63	1268.08	549.444
FNBP1L	4	1	9	10	12	5
FNBP4	546	664	762	923	932	479
FNDC1	2	1	6	8	1	2
FNDC3A	125	112	159.0004	111	181	118
FNDC3B	409.0001	303.0004	805	430	1036.0002	366
FNDC4	0	0	5	2	3	1
FNDC5	0	3	13	10	11.99996	3
FNDC7	1	1	1	3	2	4
FNDC8	12	7	2	19	15	7
FNDC9	11	10	27	5	20	10
FNIP1	288.1137	269.908000151967	326.4092	338.965000545453	448.868	242.0610760385
FNIP2	85	38	106	88	98	54
FNTA	84	99	140	176.9996	148.0001	85
FNTB	29.1922	29.7743	48.1409	23.3192	25.229	7.13147
FOCAD	331.134	365.136	467.397	583.865	485.721	313.183
FOLH1	3	0	3	0	3	6.000002
FOLH1B	1	1	0	9	0	0
FOLR1	1	0	3	1	5	1
FOLR2	2.999999308302	3.99999877054	2.000002403516	1.00000049048	4.99999326	3.00000127076
FOLR3	0	1	3	1	0	3
FOLR4	0	1	0	1	1	0
FONG	2	3	1	2	1	4
FOPNL	277.624	313.686	344.018	401.767	505.472	288.228
FOS	31	31	56	108	35	69
FOSB	7	9	13	15	9	10
FOSL1	22	24	27	32	21	12
FOSL2	260	182	334	254	445	142
FOXA1	1	0	0	1	2	1
FOXA2	0	1.00000039	2.000003708	2.00000468	2	1.99999818
FOXA3	0	1	4	2	0	0
FOXB1	9	3	0	8	0	1
FOXB2	0	3	1	1	2	5
FOXC1	0	1	3	4	1	3
FOXC2	0	0	2	1	1	0
FOXD1	1	0	4	2	3	0
FOXD2	9	7	9	13	15	6
FOXD2-AS1	64	70	119	106	45	30
FOXD3	0	0	1	2	1	0
FOXD4	2	0	2.9003	8.01921	1	0
FOXD4L1	2	0	0	2.31204	0	0
FOXD4L2	1.25	0	0	12.0504	6.05546	7.81372
FOXD4L3	0	1.20135	0	4.56795	0	2.12156
FOXD4L4	1.25	0	0	12.0504	6.05546	7.81372
FOXD4L5	7.5	6.79865	17.234	0	6.19678	6.25098
FOXD4L6	0	0	2.86567	0	4.6923	0
FOXE1	2	0	6	5	8	0
FOXE3	1	0	2	1	1	0
FOXF1	0	3	5	4	1	1
FOXF2	2	1	2.00111	3	1	2
FOXG1	3	1	14	13	3	7
FOXH1	3.24417	5.27513	4.13343	12.4539	13.1948	1.73705
FOXI1	0	0	0	0	0	1
FOXI2	1	2	2	3	3	0
FOXI3	0	0	0	1	3	1
FOXJ1	2	4	8	13	1	7
FOXJ2	118	133	178	134	157	69
FOXJ3	240.532	204.5321	261.5799	293.59404	340.33895	158.20807
FOXK1	614.176	573.074	751.955	804.022	836.923	484.818
FOXK2	281	258	195	458	420	181
FOXL1	2	2	2	3	3	4
FOXL2	3	0	1	3	2	0
FOXM1	742.10468	763.75836525	775.0832	1123.9570124275	828.4282	494.771259419
FOXN1	1	3	3	3	6	1
FOXN2	165	200	174	200	236	181
FOXN3	617.782	507.164	925.104	704.647	1531.315	429.0305
FOXN3-AS1	4	6	10	6	13	2
FOXN3-AS2	5	1	5	1	13	1
FOXN4	2	0	2	3	2	1
FOXO1	96	84	102	126	145	61
FOXO3	243.3131	140.6121	229.17429	304.056	358.669918	174.2636
FOXO3B	30.1725	17.4033	63.3927	45.9641	91.9905	31.5858
FOXO4	12	13	20	27	21	5
FOXP1	1014.59288094351	1086.97467	1534.94129	1665.45921	2041.6762900484	1157.90696
FOXP2	11.66383273	11.196692336	19.06877	16.025860308	29.7166	14.9443
FOXP3	3	4.01145	1	3.00424	2	5
FOXP4	59.2378	72.5658	80.53300754016	89.8451227	85.4362	43.2346929
FOXQ1	1	2	0	1	0	3
FOXR1	0	0	1	2	1	3
FOXR2	0	2	4	2	0	0
FOXRED1	328.0004	394.0004	422	547.0003	379	178.9999
FOXRED2	108.1140778545	75.6485	107.80483	121.19	169.563	74.17788482
FOXS1	1	0	0	4	0	2
FP588	22.528	23.2443	27.5029	34.1046	48.1369	30.5346
FPGS	1140	1439.001	1044	1699.003	1133	766
FPGT	28.976	42.36182	35.6065	40.0472	82.05034	39.5149
FPGT-TNNI3K	3.02398	2.6382	5.39346	8.95281	5.94966	6.485097
FPR1	0	1	2	2	0	0
FPR2	0	0	0	2	0	2
FPR3	9	2	7	5	5	1
FRA10AC1	207	167.389	328.569	337.831	367.684	231.794
FRAS1	4	6.000003	9.999998	22.99995	7	6
FRAT1	11	2	11	21	6	3
FRAT2	13	19	20	52	13	5
FREM1	2	0	7	9	6	2.0000036
FREM2	16.2888	11.0368	23.3785	24.2901	38.3208	17.2356
FREM3	2	5	4	10	4	12
FRG1	262.969	265.7	242.757	372.243	304.972	165.846
FRG1B	46.5551	28.7866	88.8629	128.001	143.805	55.1057
FRG2	3.83488	3.01045	5.75123	6.8673	9.35472	10.1027
FRG2B	0	0	0	1.41917	0	0
FRG2C	3.5857	5.23096	4.91089	9.93277	8.78283	7.29153
FRK	0	1	1	1	0	2
FRMD1	2	2	1	4	3	2
FRMD3	20.3389	14.3545	23.0805	20.90742	19.815	17.1812
FRMD4A	30	16	20	30	45	18
FRMD4B	23	55	49	203	55	96
FRMD5	6	8	11	7	14	6
FRMD6	5.9999972	8.0315605	9.00000178	15.04325	15.00002	9
FRMD6-AS1	48.7871	58.3351	121.451	88.0954	117.514	48.4755
FRMD6-AS2	0	0	0	1	0	1
FRMD7	2	1	1	0	0	1
FRMD8	430.062	488.582	741.707	607.902	978.993	492.187
FRMD8P1	12.7948	5.37761	13.0528	21.1866	14.2647	9.70645
FRMPD1	4	4	7	5	4	3
FRMPD2	0	1.999998	5	9.0696900126093	4	2
FRMPD2P1	2	0	0	2.93031	0	2
FRMPD4	1	1	2	2	0	2
FRRS1	16.4366	12.8621	23.5262	39.6907	24.8655	19.468
FRRS1L	0	0	0	0	1	1
FRS2	71	50	67.00002	60	131	60
FRS3	15	22	14	16	20	17
FRY	22	15	24	27	30	23
FRYL	407	315	494	541	582	317
FRZB	0	0	3	1	1	0
FSBP	0	0	16.2038	0	17.9824	0
FSCB	0	1	2	0	0	1
FSCN1	15	83	17	63	37	22
FSCN2	1	1	1	6	2	1
FSCN3	1	0	0	0	6	1
FSD1	103	59	167	80	135	82
FSD1L	31.00004	34.99997	34.99999	60.00002	22.99996	22.99999
FSD2	7	1	6	4	6	3
FSHB	0	0	0	0	1	0
FSHR	0	0	4	4	2	1
FSIP1	4	5	3	20	9	5
FSIP2	11	5	39	35	29	43
FST	0	3.58986	5.96403	8.296775	8.54566	8.4941
FSTL1	1	0	1	2	10	3
FSTL3	7	8	27	9	19	5
FSTL4	1	3	13	6	0	2
FSTL5	1.000000039	0	1.000000147	7	0	4.0000034
FTCD	0	1	1	4	5.000000703592	1.0000000116097
FTH1	11347.5	13605.5	13038.4	44556.3	15934.5	16674.7
FTH1P18	0	0	3	1	1	1
FTH1P3	32.4715	35.5311	32.5907	53.6831	29.467	17.2621
FTHL17	0	0	0	0	0	0
FTL	14743	13677	28063	88235	48033	34613
FTLP10	4.12414	10.501	12.4987	19.9776	9.35572	6.44443
FTMT	0	0	0	0	0	0
FTO	200.193	216.075	261.978	290.683	296.18	198.588
FTSJ1	520.0002	569.0003	567.9995	900.0003	657.9998	285.0002
FTSJ2	380	372.399	374	566	438	276
FTSJ3	652.896	773.76	494.106	878.028	654.734	446.929
FTSJD1	134	174.9998	231.0003	235.9995	315	113
FTSJD2	197	165	197	215	266	141
FTX	42.3526	40.8614	51.8877	42.4476	65.7522	30.3962
FUBP1	1249	1294	1168	1499	1954	1027
FUBP3	107	106	129	142	190	94
FUCA1	1815	1854	1158	2270	885	604
FUCA2	540	514	533	590	435	227
FUK	155	141	197	175	186	83
FUNDC1	100	92	92	109	100	50
FUNDC2	370	330	399	429	548.989	241
FUNDC2P2	1	1	0	0	3.01105	4
FUOM	112	126	149	192.9998	143	97
FURIN	916	1044	1256	1680	1419	894
FUS	2788.906	2499.578	3714.69	4918.43	4490	2617.502
FUT1	58.5641	44.4868	79.7726	98.371	104.336	48.0766
FUT10	49	24	42	43	63	16
FUT11	98	116	144	127	213	78
FUT2	61.5802	39.5445	66.559321	82.18426	88.4928218494	66.16906
FUT3	5.15776	5.28675	7.29956	6.13373	3.47677	3.08609
FUT4	67.046	68.6479	50.2052	74.982	73.6551	33.9894
FUT5	1	0	7	4	9.74321	0
FUT6	13.7569	12.5503	20.20572568	32.0653	49.2573	20.9288
FUT7	195	102.84	94.9032	183.859	74.0625	32.5076
FUT8	356.105	571.7935	145.7628	567.9114	150.7796	176.1091
FUT8-AS1	28.8956	50.2064	9.23717	19.0881	9.22041	23.8909
FUT9	19.1469	18.2676	30.5325	22.3203	41.5734	26.4509
FUZ	39.5587	38.92790432587	41.62811	73.425	45.7338	43.2619
FXN	325.197	347.1577	366.6935	463.2457	444.3926	277.6727
FXR1	368.9999	372.0003	456.0003	441	509.0001	267.0007
FXR2	108	84	83	152	119	53
FXYD1	1	1	1	1	0	1
FXYD2	20.3376	3.025410292782	3.65516	2.000000132528	2.000000357286	5
FXYD3	3	1	1	5	4.00001	0
FXYD4	0	1	3	2	1	0
FXYD5	4638.9974	5775.0043	2755.9969	5221.9947	2887.9961	1632.9987
FXYD6	2	1.25377	5.66723	3	3	6
FXYD6-FXYD2	2.66243	4.72081	1.67761	0	0	0
FXYD7	9	10	5	6	7	3
FYB	1184.00000014195	761	1319	837	1655.996031598	539.00084
FYCO1	159	158	223	222	224	123
FYN	618	515.0001	897.0004	760.9991	1270.0001	387.0004
FYTTD1	1029.901	1111.7034	900.4263	1159.59088	1288.2097	752.29726
FZD1	3	6	5	7	9	4
FZD10	1	1	6	4	4	6
FZD2	15.3237	12.742	7.55879	23.3431	50.2231	9.22612
FZD3	90.4251	72.7149	134.793	129.775579	153.90998632	70.09709
FZD4	24.5729	34.8326	78.9513	60.6068	85.5564	42.7462
FZD5	5	11	21	20	22	12
FZD6	153.9997	164.9999	50.000048808	176	71.9999758	98
FZD7	20	13	7	49	21	12
FZD8	0	0	0	5	5	1
FZD9	5	2	1	3	7	0
FZR1	357.9998	373.0005	413.9999	519	372.9997	226.9998
G0S2	0	0	1	0	0	3
G2E3	132	127	146	152	249	100
G3BP1	2012.002	2133.002	2193.001	2653.998	2377.999	1663.998
G3BP2	1129.00310011888	1396.0045	876	1379.9989	1053.99950026454	805.0005
G6PC	87.5268	76.091500197368	111.139	111.862000167527	123.76300059339	76.0923000182562
G6PC2	7.42203	1.06877	11.1808	6.45987	14.4423	6.38033
G6PC3	109	122.0003	99	193.0004	167.00029	75.99999
G6PD	1231	1299	1171.622	2170.669	1294.237	823
GAA	144	136	279.0003	260	221.0004	73.0000000140449
GAB1	22	33	12	31.000046698	16	4.99999788034
GAB2	95.99997	101.99966238	72	279.99959	35	40
GAB3	263.0004	173.0000026997	424	311.000000367	398	233.0000828986
GAB4	2	0	2	6	1	0
GABARAP	1446	1228	1593	1960	1942	758
GABARAPL1	241	146	358	463	505	337
GABARAPL2	505	447	541	629	630	273
GABARAPL3	0	0	0	0	1	0
GABBR1	8	3	9	2.000000204315	18	13
GABBR2	3.09623	4.041	7.0425	14.6666	6.19084	5.17391
GABPA	114.3002	137.7876	164.6787	173.8066	176.3946	138.4088
GABPB1	213.0935	282.7654	337.10569212	433.9747	450.00419	245.2019
GABPB1-AS1	136.341	125.766	127.988	151.988	164.014	93.8595
GABPB2	92	69	72	174	78	71
GABRA1	2.00000011	1.00000028	4	0	2	2
GABRA2	7	1	8.02557	3.00717	6.0143	6.01385
GABRA3	1.55512	3	1	5.34107	4	0
GABRA4	3.032030078133	5.03543	13.0504	21.2076	12.0817	21.35230183164
GABRA5	0	0	2	4	5	0
GABRA6	0	1	0	1	2	1
GABRB1	3	0	4	1	1	0
GABRB2	2	1.0000000939401	10	4.000000238824	12	7.0000000939914
GABRB3	1.999998054	6.06911555	3.000000469	4.00000194	4.02754	4.04015832
GABRD	2	3	4	3	2	3
GABRE	0	0	2	1	0	0
GABRG1	8	2	3	6	14	18
GABRG2	1.000000312	0	2.000000604	4	3.00000161	3.00000224
GABRG3	1	1	0	3	0	2
GABRP	0	2	3	2	1	1
GABRQ	0	0	2	0	0	1
GABRR1	10.4768	3.10906	6.21884	12.833	10.606	8.35109
GABRR2	1	1	5	1	3	0
GABRR3	0	1	0	0	1	0
GAD1	2	1	1	3.000000311579	1	4
GAD2	3	1	0	0	3	1
GADD45A	70	80	66	209	85	56
GADD45B	242	148	406	317	792	275
GADD45G	10	14	21	26	22	21
GADD45GIP1	97	132	93	220	85	72
GADL1	5	2.01364	7.02926	4.0165	5.03062	4
GAGE1	7.14401	4.12197	9.36338	15.2441	14	10.6587
GAGE10	0	0	0	0	0	0
GAGE12B	0	0	0	0	0	0
GAGE12C	0	0	0	0	0	0
GAGE12D	2.260608	0	4.0019	3.170382	0	1.000002
GAGE12E	0	0	0	0	0	0
GAGE12F	0	0	0.419754	0	0	0
GAGE12G	0	0	0	0	0	0
GAGE12H	0	0	0	0	0	0
GAGE12I	0	0	0	0	0	0
GAGE12J	0	0	0	0	0	0
GAGE13	0	0	0	0	0	0
GAGE2A	0	0	0	0	0	0
GAGE2B	0	0	0	0	0	0
GAGE2C	0	1.27958	0	2.17846	0	0
GAGE2D	1.356128	0	0	1.47883	0	0
GAGE2E	4.239254991	2.598447	2.421825	3.92823	3	2.999992272
GAGE4	0	0	0	0	0	0
GAGE5	0	0	0	0	0	0
GAGE6	0	0	0	0	0	0
GAGE7	0	0	0	0	0	0
GAGE8	0	0	0	0	0	0
GAK	1347	1289	1424	1822	1664	800
GAL	0	1	2	4	0	2
GAL3ST1	2	3	15	12	7	3
GAL3ST2	0	0	4	2	2	0
GAL3ST3	3	5	5	2	10	3
GAL3ST4	7.02028	9.62689	16.0918	20.2035	16.3671	5.15854
GALC	135	147	200.9997	149	198	73.00002
GALE	601.9997	759.9998	337.0002	739.0002	296.0001	232.0002
GALK1	558	600	499	726	450	258
GALK2	115	126.9171	123	152	186.9995	111.8826
GALM	58.1823	71.5641	109.446	360.854	90.2885	90.9722
GALNS	204	173	259	289	379	195
GALNT1	173	133	134	169	198	78
GALNT10	324	234	316	331	492	165
GALNT11	212	178	255	234	348	212
GALNT12	2	4	15	7	9	16
GALNT13	4	6	7	15	3	8
GALNT14	0	1.00000012	2	5.9999969	3	5
GALNT15	15.0943	12.3211	28.7243	29.8006	40.2134	25.2639
GALNT16	1	5	7	5	2	2
GALNT18	2	0	13	4	0	3
GALNT2	178	209	239	317	279	165
GALNT3	84	77	127	154	181	83
GALNT4	278.255	236.846	264.958	369.655	348.835	117.995
GALNT5	0	0	3	1	3	1
GALNT6	788.702	751.838	867.917	931.853	917.443	421.043
