Coculture_t24h_Donor1_IL-15-1ng-mL	Coculture_t24h_Donor1_IL-15-1nM	Coculture_t24h_Donor1_IL-15-Monalizumab	Coculture_t24h_Donor1_Mabkine	Coculture_t24h_Donor1_Monalizumab	Coculture_t24h_Donor2_IL-15-1ng-mL	Coculture_t24h_Donor2_IL-15-1nM	Coculture_t24h_Donor2_IL-15-Monalizumab	Coculture_t24h_Donor2_Mabkine	Coculture_t24h_Donor2_Monalizumab	Coculture_t24h_Donor3_IL-15-1ng-mL	Coculture_t24h_Donor3_IL-15-1nM	Coculture_t24h_Donor3_IL-15-Monalizumab	Coculture_t24h_Donor3_Mabkine	Coculture_t24h_Donor3_Monalizumab
ABCB5	94.8322	26.6164	32.9847	37.1805	31.81399	35.937	23.8452	31.01715	30.9807	38.0307	32.46981	23.7119	24.52328	33.5934	58.3402
ABCB6	344	128	261	494	39	62	206	174	163	72	26	112	163	196	75
ABCB7	650.99918	73	114.00001952546	196.0001	71	100	122.000074069	92	104	104	98	104.99999	113	136.0005	221.0004
ABCB8	931	340	613	998	315	301	608	546	752	412	188	308	371	585	349
ABCB9	47.00003	9.0000000360476	20.00000267236	28.99999	4	9	4.0000000130869	24.99996	2	2	10	7	11.0000000207476	46	9.0000000329019
ABCC1	1621	407	684	1037	407	402	439	406	632	581	292	346	390	570	525
ABCC10	1148	220.9995	344.0005	530.0004	309.9995	252.9999	375.9996	285	446.9759	452.0001	365.9999	388.0004	381.0001	439.0005	546
ABCC11	6	0	2	5	2	2	2	1	0	6	4	4	4	3	2
ABCC12	13	0	3	1	0	3	0	0	3	7	2	3	2	3	0
ABCC13	30.4271	3.16652	6.122798	7.03651	9.159	7.39631	8.09566	8.09257	8.09428	11.4872	9.0649	8.06339	3.13169	3.06709	10.124
ABCC2	5	2	1	1	3	9	0	0	2	5	7	3	1	4	1
ABCC3	8	2	0	4	7	5	0	9	1	7.000003	5	7	3	4	6
ABCC4	203.1447	52.3755	90.8461	240.574	43.6097	51.7079	112.2231	66.0564	91.4461	87.7218	26.51919	64.3544	70	55	35.5455
ABCC5	459.9999	66	128	209.9997	92	96	101	80	143	204.9996	121	102	111	132.0002	170
ABCC5-AS1	2	0	0	0	0	2	1	0	0	1	4	0	0	0	2
ABCC6	10.2048	2.26322	8	8	7.05999	0	4.16967	4.000002	6	7	10.511512	7	4	2	5
ABCC6P1	4.79519	0	1	0	1.94001	0	0.830328	0	0	0	5.72541	3	0	1	1
ABCC6P2	0	0.736781	0	0	0	1	0	0	0	0	1.76308	0	0	0	0
ABCC8	2	1	2	5	1	2	2	2	3	1	12	8	2	2	0
ABCC9	771.42831	156.769	189.82	314.953	255.378	376.661	242.555	142.759	174.131	364.88051	370.743	269.969	203.144	217.39	418.683
ABCD1	116	29	39	49	46	33	60	50	55	49	91	43	63	97	113
ABCD2	293	33	33	47	32	18	2	10	28	54	54	10	15	18	38
ABCD3	166.8048	89.5907	96.87174	134.41185	57.66185	116.80339	109.8833	134.0104	174.8986	108.6	75.89907	100.3687	80.6028	123.54563	75.6488
ABCD4	1192	186.9999	253	441	225.9999	245.0003	248	238.0004	319	373	352	284	229.9995	310	537
ABCE1	564.6188	392.1471	421.9489	647.2415	142.617	147.0004	552.3915	452.1318	686.7005	188.4895	71	396.069	318.5862	355.4032	161.556
ABCF1	2644.003	1271.004	2060.997	3108.005	768.0002	814	1688.9984	2153.004	2228.0032	1205.99806	634.9998144	1554	1550.996	2566.996	898.0003
ABCF2	1247.2518	638.925	919.93475	1935.4492	291.566	280.82	869.1336	853.3766	1101.64639	474.30409	294.5216	620.02741	644.9165	853.2635	436.2161
ABCF3	633	345	501	673	175	153	377	311	344	271	168	258	310	501	318
ABCG1	161.0002	19.0000310718	6	16	7	50.9999213949	6	8	2	46	36	9	4	6	23.000000404
ABCG2	73.99998	23	28	42	15	8	7	5	4	2	5	4	0	0	8
ABCG4	2	2	2	1	3	5	3	0	0	2	3	5	2	3	17
ABCG5	0	0	0	2	3	2	0	0	2	3	1	3	0	0	0
ABCG8	0	0	0	1	2	0	0	1	5	1	3	3	0	0	1
ABHD1	3	1	0	15	1	7	3	2	0	12	4	2	1	0	6
ABHD10	219.99959	114	164.00019	363.00025	69	61	128	132	184.00021	113	78.00002	107	110.99967	172.0002	146.9997
ABHD11	223.96325	101.1322	166.7389	280.7195	76.16431	68.77562	179.0967	165.9855	197.6297	100.85482	86.609	141.3494	144.8614	209.1353	158.1058
ABHD12	769.99966	250.00043	431.99999	514.00038	253.0004	208.00017	312.99984	372.9996	438	399.00046	238.00037	327.00006	324.00045	557.0002	332.00005
ABHD12B	68	21	12	23	21	19	20	8	17	29	30.99996	24	15	13	29
ABHD13	140	88	59	100	64	74	55	78	80	101	124	45	76	103	100
ABHD14A	204.843	87	153.499	215.438	85.1877	39.9653	106.068	143.919	182.356	131.517	95.3073	142.404	174.998	224.65	132.621
ABHD14A-ACY1	109.688	0	50.6697	141.758	34.6409	14.5978	91.5067	63.2394	91.1769	86.4398	18.1163	42.4736	0.00794787	105.154	40.2701
ABHD14B	925.0001	204.0004	363.0001	358.0008	286.9998	339.9996	301.99993	419.0003	433.0003	587.9996	300.0002	270.0002	241.0002	372.9998	513.9997
ABHD15	740.928	108.204	152.817	355.057	167.901	218.687	162.847	122.841	191.432	233.888	285.352	223.222	177.915	189.615	524.085
ABHD16A	1067.99996293599	296.9999202133	373.99947909	427.0002	265.00038	245.0002225798	448.999560012884	433.999600431415	598.9996	440.0001	305.9998	356.0001	404.0004	558.0001	414.9998269668
ABHD16B	125	59	84	125	69	79	70	89	126	139	67	74	69	103	96
